CSDUID,CSDNAME,Latitude,Longitude,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population
3501005,South Glengarry,45.2561615,-74.5953852,Apartment,1425.0,2.0,1.0,0,1,1,950.0,1,14211
3501005,South Glengarry,45.1920027,-74.3746039,Apartment,1100.0,2.0,1.0,0,0,1,780.0,1,14211
3501005,South Glengarry,45.146672,-74.579565,House,2700.0,3.0,2.5,0,1,1,693.2284334664314,1,14211
3501005,South Glengarry,45.143726,-74.502708,House,1200.0,2.0,1.5,0,0,1,900.0,1,14211
3501005,South Glengarry,45.0689727,-74.5428728,House,4000.0,2.5,3.0,0,1,1,693.2284334664314,1,14211
3501005,South Glengarry,45.059039,-74.558464,Apartment,1695.0,1.0,1.0,1,1,1,850.0,1,14211
3501005,South Glengarry,45.1359806,-74.6195878,Apartment,1095.0,1.0,1.0,0,0,1,600.0,1,14211
3501005,South Glengarry,45.2561615,-74.5953852,House,2180.0,2.0,2.0,0,0,1,693.2284334664314,1,14211
3501005,South Glengarry,45.1545916,-74.7106339,Townhouse,2400.0,2.5,2.0,0,0,0,693.2284334664314,1,14211
3501011,South Stormont,45.030398,-74.890559,House,2340.0,2.0,2.0,0,0,0,693.2284334664314,1,13903
3501011,South Stormont,45.030398,-74.890559,Apartment,1400.0,2.0,1.0,0,0,1,900.0,1,13903
3501011,South Stormont,45.030398,-74.890559,Apartment,1000.0,1.0,1.0,0,0,1,800.0,1,13903
3501011,South Stormont,45.030398,-74.890559,Apartment,1200.0,2.0,1.0,0,0,1,500.0,1,13903
3501011,South Stormont,45.030398,-74.890559,Apartment,1400.0,2.0,1.0,0,0,1,900.0,1,13903
3501011,South Stormont,45.030398,-74.890559,Apartment,1400.0,2.0,1.0,0,0,1,693.2284334664314,1,13903
3501011,South Stormont,44.9988604,-74.9855072,Apartment,1800.0,3.0,1.0,0,0,0,693.2284334664314,1,13903
3501011,South Stormont,44.9988604,-74.9855072,Apartment,895.0,1.0,1.0,0,0,1,440.0,1,13903
3501011,South Stormont,45.0522978,-74.8467934,Duplex/Triplex,1700.0,2.0,1.0,0,0,0,693.2284334664314,1,13903
3501012,Cornwall,45.0573855,-74.7703395,House,3000.0,4.0,2.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.0543824,-74.6911526,Duplex/Triplex,900.0,1.0,1.0,0,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0524693,-74.7612806,House,1850.0,4.0,2.0,0,0,1,900.0,1,49442
3501012,Cornwall,45.051508,-74.7465675,House,2275.0,5.0,2.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.0456965,-74.7524292,Apartment,1150.0,1.0,1.0,1,1,1,300.0,1,49442
3501012,Cornwall,45.0434471,-74.7246645,Basement,1650.0,2.0,1.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.0429292,-74.7536723,Condo,1800.0,1.0,1.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.0367634,-74.7221443,Apartment,1450.0,3.0,1.0,1,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0356883,-74.7640586,House,2000.0,3.0,2.0,0,0,0,693.2284334664314,2,49442
3501012,Cornwall,45.0352911,-74.7353199,House,2250.0,2.0,2.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.0335211,-74.7288463,House,2500.0,4.0,2.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.0328789,-74.7524278,Apartment,1500.0,2.0,1.0,0,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.032743,-74.7374878,Apartment,1800.0,3.5,1.0,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.0319536,-74.7594173,Apartment,1380.0,0.5,1.0,0,1,1,695.0,1,49442
3501012,Cornwall,45.0319536,-74.7594173,Apartment,1125.0,0.5,1.0,0,1,1,460.0,1,49442
3501012,Cornwall,45.0319536,-74.7594173,Apartment,1235.0,1.0,1.0,0,1,1,628.0,1,49442
3501012,Cornwall,45.0299914,-74.6895238,Duplex/Triplex,2100.0,4.0,2.0,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.0291457,-74.7054177,Apartment,1550.0,2.0,1.0,0,1,1,785.0,1,49442
3501012,Cornwall,45.0290106,-74.7107016,House,1550.0,2.0,1.0,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.0290106,-74.7107016,House,2500.0,5.0,2.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.028596,-74.6967641,Apartment,2300.0,3.0,1.5,0,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.028596,-74.6967641,Apartment,1925.0,2.0,1.0,0,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0281161,-74.7443444,Duplex/Triplex,1600.0,2.0,1.0,0,0,1,700.0,1,49442
3501012,Cornwall,45.0278717,-74.6964392,Apartment,2000.0,2.0,1.0,1,1,0,790.0,2,49442
3501012,Cornwall,45.0270639,-74.6953765,Apartment,1000.0,1.0,1.0,1,1,1,450.0,2,49442
3501012,Cornwall,45.0257173,-74.7208084,Apartment,1800.0,3.0,1.5,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.0254148,-74.6879274,House,1950.0,3.0,2.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.0254148,-74.6879274,Duplex/Triplex,2050.0,3.0,1.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.024859,-74.6950656,Duplex/Triplex,1750.0,2.5,2.0,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.024857,-74.697981,Duplex/Triplex,1750.0,3.0,1.0,0,0,1,693.2284334664314,2,49442
3501012,Cornwall,45.0244818,-74.7382804,Apartment,1300.0,1.0,1.0,1,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0242035,-74.7199421,Apartment,1495.0,1.0,1.0,1,1,1,750.0,1,49442
3501012,Cornwall,45.0235896,-74.7104539,Apartment,1395.0,2.0,1.0,0,0,1,700.0,2,49442
3501012,Cornwall,45.0227099,-74.694051,Apartment,1000.0,2.0,1.0,1,1,1,600.0,2,49442
3501012,Cornwall,45.022168,-74.705399,Duplex/Triplex,1300.0,2.0,1.0,0,0,1,800.0,1,49442
3501012,Cornwall,45.021263,-74.7070903,Duplex/Triplex,1300.0,2.0,1.0,0,0,1,800.0,1,49442
3501012,Cornwall,45.019878,-74.717729,Townhouse,1600.0,3.0,1.0,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.0198271,-74.737017,House,1475.0,2.0,1.0,0,0,0,980.0,1,49442
3501012,Cornwall,45.0198271,-74.737017,House,1475.0,2.0,1.0,0,0,0,950.0,1,49442
3501012,Cornwall,45.0184372,-74.7141308,Apartment,1350.0,1.0,1.0,1,1,1,800.0,1,49442
3501012,Cornwall,45.0176347,-74.7419153,Apartment,1300.0,2.0,1.0,0,0,1,900.0,2,49442
3501012,Cornwall,45.0170885,-74.7339503,Apartment,1550.0,2.0,1.0,1,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0170885,-74.7339503,Apartment,1395.0,1.0,1.0,1,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0151388,-74.7337001,Townhouse,2100.0,3.5,1.0,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.015089,-74.7392362,House,2700.0,4.5,3.0,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.0137484,-74.7354197,Apartment,1350.0,1.0,1.0,0,0,1,500.0,1,49442
3501012,Cornwall,45.0126027,-74.7574922,Apartment,1300.0,1.0,1.0,0,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.028976,-74.715034,Apartment,1575.0,3.0,1.0,0,0,0,693.2284334664314,1,49442
